,0,1,2,3,4
" ""MS-Auto""","("" 'Mostotrest'"", 65.71428571428571)","('Somali Battalion', 63.29365079365079)","('Russian National Commercial Bank', 62.59920634920636)","('Kalmius Battalion', 62.55835667600373)","('IS Bank', 61.904761904761905)"
" ""Vector""","('VTB', 66.66666666666666)","('VEB.RF', 66.66666666666666)","(' ""VO Technopromexport""', 66.08187134502924)","('O ""VO Technopromexport""', 65.07936507936508)","(' Almaz-Antey Corporation', 61.69082125603865)"
" ""Almetor Finland""","('Almaz-Antey ', 67.02020202020202)","(' Almaz-Antey Corporation', 64.62889767237593)","('Kalmius Battalion', 63.57298474945533)","('Somali Battalion', 63.05555555555556)","('Smert Battalion', 62.22222222222222)"
" ""Nordavtoservis""","("" 'Mostotrest'"", 68.57142857142856)","(' Feodosia Enterprise of oil', 66.17826617826617)","(""'Federativnoye Gosudarstvo Novorossiya'"", 64.993564993565)","('P Mostotrest', 64.68253968253968)","('Mostotrest, P', 64.68253968253968)"
" ""Consulting Plus""","('Cossack National Guard', 68.3838383838384)","('USC', 62.22222222222222)","('So-called ""Luhansk Guard""', 61.598594642072904)","('So-called ""Lugansk Guard""', 61.598594642072904)","('Donetsk Republic', 60.972222222222214)"
" ""PF"" SKB contour ""","('P SOVCOMBANK', 73.39285714285715)","('P USC', 69.52380952380953)","('Luhansk Economic Union', 64.69456469456469)","('P Mostotrest', 64.68253968253968)","('Cossack National Guard', 64.06926406926407)"
" ""Laboratory of Smart Driving""","(""Prizrak Battalion 'Ghost' Brigade"", 67.5541901348353)","('Movement ""Novorossiya"" of Igor Strelkov', 63.892463892463894)","('Stroygazmontazh Corporation (SGM Group)', 63.892463892463894)","(' Almaz-Antey Corporation', 63.77482555018786)","('Vostok Battalion', 63.64553656220323)"
" ""Absolute""","(""Sobol'"", 68.33333333333333)","('Rostec', 63.888888888888886)","("" 'VO TPE'"", 62.5)","('Almaz-Antey ', 62.121212121212125)","('Dobrolet', 61.66666666666667)"
" ""Sky Auto""","('IS Bank', 60.11904761904761)","('Russian National Commercial Bank', 59.02777777777778)","('Kalmius Battalion', 58.98692810457516)","('Smert Battalion', 58.611111111111114)","('Zarya Battalion', 58.611111111111114)"
"ANO ""Independent Expertise Center","('Crimean Republican Enterprise Azov Distillery Plant', 63.30756661639014)","('Black Sea Bank Development and Reconstruction', 63.22685185185185)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 63.22463768115942)","(""State Enterprise 'Sparkling Wine Plant 'Novy Svet'"", 62.43882978723404)","(""State Unitary Enterprise of the Crimean Republic 'Crimean Sea Ports'"", 62.355699855699854)"
" ""Caesar Satellite Systems","(""State Enterprise 'Sevastopol Commercial Seaport'"", 67.27053140096618)","('Almaz-Antey ', 64.52020202020202)","(""C 'Interavtomatika'"", 62.41830065359477)","(""'Federal State of Novorossiya'"", 62.10317460317461)","(""State Concern 'National Association of producers 'Massandra'"", 62.08228905597327)"
" ""Volya Tolly Express""","("" 'VO TPE'"", 69.88304093567251)","('O ""VO TPE""', 64.03508771929825)","('Donetskaya Narodnaya Respublika', 61.04373837820357)","(""So-called Donetsk People's Republic"", 60.6015037593985)","(""Donbass People's Militia"", 59.94152046783626)"
" ""Alfred""","('Free Donbas', 67.67676767676768)","('Free Donbass', 66.66666666666666)","(""'Federal State of Novorossiya'"", 62.698412698412696)","('So-called ""Luhansk Guard""', 61.35265700483091)","('So-called ""Lugansk Guard""', 61.35265700483091)"
" ""Course-Vdpo""","('USC', 64.64646464646465)","('Free Donbas', 63.63636363636363)","(' ""VO Technopromexport""', 63.27751196172249)","('Mostotrest, P', 62.62626262626263)","(""So-called 'Lugansk People's Republic'"", 61.770081770081774)"
" ""Ma Studio""","('Kalmius Battalion', 66.14923747276688)","('Smert Battalion', 65.2910052910053)","('Death Battalion', 63.33333333333333)","('Zarya Battalion', 62.96296296296296)","('Federal State Budgetary Enterprise \'Sanatorium ""Nizhnyaya Oreanda""\' of the Administration of the President of the Russian Federation', 61.60300925925925)"
" ""Optic""","('Rostec', 70.0)","('Otkritie', 65.83333333333333)","('Bank Otkritie Financial Corporation P', 63.60360360360361)","(""Gosudarstvenoye predpriyatiye Agrofirma 'Magarach' nacionalnogo instituta vinograda i vina 'Magarach'"", 61.718213058419245)","(""Federal State Budgetary Enterprise 'Production-Agrarian Union 'Massandra' of the Administration of the President of the Russian Federation"", 61.23456790123457)"
" ""TsPM""","(' TPE', 75.0)","("" 'Institute Giprostroymost - Saint-Petersburg'"", 61.58536585365854)","(' ""United Shipbuilding Corporation""', 61.55913978494624)","('P Mostotrest', 61.11111111111111)","(""State Enterprise 'Magarach' of the National Institute of Wine"", 60.59322033898306)"
" ""Absolute Insurance""","('Bank of Russia', 67.77296777296776)","('Sberbank of Russia', 66.66666666666666)","('Bank Rossiya', 66.2962962962963)","('Z Interautomatica', 66.181422063775)","('Aktsionernoe Obshchestvo Genbank', 65.625)"
All-Russian public organiser,"('First Crimean Insurance Company', 68.64823348694316)","('Russian National Commercial Bank', 67.28896103896103)","(""Donbass People's Militia"", 66.7989417989418)","('Industrial Savings Bank', 66.03404646882908)","('P UAC', 65.95238095238095)"
" ""Delta Mekong""","('Death Battalion', 63.57142857142857)","('Peace To Luhansk Region', 62.27053140096618)","('Dobrolet', 61.38888888888889)","(""Donbas People's Militia"", 60.26570048309178)","(""Donbass People's Militia"", 59.72222222222222)"
" ""Master-Lunch""","('Mir Luganschine', 73.83333333333333)","('Smert Battalion', 67.22222222222221)","('Donetsk Republic', 65.97222222222221)","('P Sberbank (Public  Sberbank)', 62.464387464387464)","('Rostec', 61.66666666666667)"
" ""Teksk""","(' TPE', 68.88888888888887)","("" 'The Berkatit-Tommot-Yakutsk Railway Line's Construction Directorate'"", 62.48756218905472)","('Army of the Southeast', 58.0952380952381)","('Army of the South-East', 57.878787878787875)","('Almaz-Antey Defense Corporation', 56.55913978494623)"
" ""VENTRU""","('VTB', 66.66666666666666)","('VEB.RF', 66.66666666666666)","('Movement ""Novorossiya"" of Igor Strelkov', 65.61561561561562)","('Movement Novorossiya of Ignor Strelkov', 65.49707602339181)","('Donetsk Republic', 64.86111111111111)"
 Potapov Nikita Olegovich,"('Vostok Battalion', 65.6517094017094)","(""Prizrak Battalion 'Ghost' Battalion"", 65.4040404040404)","('O ""VO TPE""', 65.27777777777779)","(""Prizrak Battalion 'Ghost' Brigade"", 64.72520908004779)","(""Azovsky likerovodochny zavod'"", 63.457049486461244)"
" ""Arm-EcoGroup""","('Almaz-Antey Corp', 75.0)","(' Almaz-Antey Corporation', 67.6731078904992)","('Army of the Southeast', 64.08730158730158)","('Army of the South-East', 63.510101010101)","(' ""United Aircraft Corporation""', 63.456790123456784)"
" ""Art-Atlas""","('Zarya Battalion', 76.57407407407408)","('Battalion Gvardeysky', 72.12962962962962)","('Sparta Battalion', 71.29629629629629)","('Death Battalion', 70.05291005291005)","('Smert Battalion', 70.05291005291005)"
SERPA SERVICE ,"('Industrialny Sberegatelny Bank', 66.75213675213675)","('Sberbank of Russia', 64.49430199430199)","('Russian Direct Investment Fund', 63.54700854700855)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 63.26644370122631)","(""State enterprise 'Universal-Avia'"", 63.116901020126825)"
" ""Varanger""","(""'Federativnoye Gosudarstvo Novorossiya'"", 65.54054054054053)","('Almaz-Antey Corp', 64.58333333333334)","('Battalion Gvardeysky', 62.77777777777778)","('Almaz-Antey ', 62.121212121212125)","(' Integral', 61.66666666666667)"
" ""autotelel""","(' TPE', 62.96296296296296)","("" 'The Berkatit-Tommot-Yakutsk Railway Line's Construction Directorate'"", 60.033167495854066)","('Battalion Gvardeysky', 60.0)","(""Donbas People's Militia"", 58.69565217391304)","(""Donbass People's Militia"", 58.333333333333336)"
" ""Electronic Passport""","("" 'Lenpromtransproyekt'"", 68.69095816464238)","(' ""VO Technopromexport""', 67.10526315789474)","('Free Donbass', 66.71539961013644)","('O ""VO Technopromexport""', 65.1002506265664)","(""Donbas People's Militia"", 63.89887762885474)"
" ""ALFA-CAP""","('Almaz-Antey ', 69.31818181818183)","(' Almaz-Antey Corporation', 67.88302277432713)","('Almaz-Antey Corp', 65.27777777777779)","('UAC', 63.888888888888886)","('Black Sea Bank of Development and Reconstruction', 59.72222222222222)"
 Ladyzhensky Cyril Izmailovich,"('Luganskiy Ekonomicheskiy Soyuz', 62.24843718491632)","(""Azovsky likerovodochny zavod'"", 62.00198772794053)","(' Zaliv Shipyard', 61.80897646414888)","('Luhansk Economic Union', 59.96865203761755)","('Russian National Commercial Bank', 58.8171906693712)"
" ""Level""","('Black Sea Bank Development and Reconstruction', 63.70370370370371)","('Black Sea Bank of Development and Reconstruction', 63.47222222222223)","('Black Sea Bank for Development and Reconstruction', 63.40136054421769)","(' Black Sea Bank for Development and Reconstruction', 63.40136054421769)","("" 'VO TPE'"", 57.777777777777786)"
" ""Prima-Service""","('Prizrak Brigade', 67.45726495726495)","('Mir Luganschine', 65.2991452991453)","('Crimean Republican Enterprise Azov Distillery Plant', 64.9069884364002)","('Russian Direct Investment Fund', 61.639471639471644)","(""State enterprise 'Universal-Avia'"", 61.245206406496735)"
 Malarchuk Vitaly Vladimirovich,"('Kalmius Battalion', 68.13976872800401)","('Somali Battalion', 65.4419191919192)","('Russian National Commercial Bank', 61.95540935672514)","('Zarya Battalion', 60.9090909090909)","(' Zaliv Shipyard', 59.624819624819615)"
" ""VE""","('VEB.RF', 82.22222222222221)","('Vneshekonombank', 74.0)","(' ""VO Technopromexport""', 73.1578947368421)","('O ""VO Technopromexport""', 69.84126984126985)","(""Azovsky likerovodochny zavod'"", 69.04761904761904)"
" ""Dar""","(' Feodosia Enterprise of oil', 70.51282051282051)","(' ""United Aircraft Corporation""', 70.37037037037037)","('United Aircraft Corporation', 70.37037037037037)","('Donetskaya Narodnaya Respublika', 69.89247311827957)","('Fedosia Oil Products Supply Company', 69.5238095238095)"
 MS Bank Rus,"('IS Bank', 80.08658008658008)","('Sberbank of Russia', 78.82154882154882)","('Bank of Russia', 74.62722462722463)","('Russia Bank', 73)","('P Sberbank of Russia', 70.30303030303031)"
" ""Ay - Pro""","('Bank Rossiya', 66.66666666666666)","(""'Luganskaya Narodnaya Respublika' (LNR)"", 65.87301587301587)","('P Sberbank of Russia', 62.777777777777786)","('Army of the Southeast', 62.38095238095238)","('Army of the South-East', 62.02020202020202)"
" ""Viza Eichar Consulting""","('Cossack National Guard', 65.45454545454544)","('Peace To Luhansk Region', 64.09749670619236)","('First Crimean Insurance Company', 63.64498878730377)","(' ""United Shipbuilding Corporation""', 63.64498878730377)","(""Prizrak Battalion 'Ghost' Battalion"", 62.53713606654783)"
" ""SIZ-SERVICE""","('Z Interautomatica', 63.50903997962821)","('Aktsionernoe Obshchestvo Genbank', 62.573653198653204)","('Luganskiy Ekonomicheskiy Soyuz', 62.323232323232325)","(' Zaliv Shipyard', 61.68831168831169)","('Z Interavtomatika (IA)', 61.45021645021645)"
UFK in the Moscow region,"('Peace To Luhansk Region', 67.8566354077863)","('Luhansk Economic Union', 67.2979797979798)","('Russian National Commercial Bank', 63.888888888888886)","(' ""United Aircraft Corporation""', 63.7962962962963)","('United Aircraft Corporation', 63.7962962962963)"
UFK in Moscow (Department,"('USC', 73.75)","('25 January Committee', 65.83333333333333)","('C VAD Aktsionernoe Obshchestvo VAD', 64.86928104575162)","('Almaz-Antey Defense Corporation', 64.36285606489342)","(' \'Foreign Economic Association\' ""Technopromexport""', 64.25925925925925)"
" ""EMEKS.RU""","('Donetsk Republic', 67.55952380952381)","('VEB.RF', 62.5)","(""People's Union"", 59.404761904761905)","(""State enterprise 'Universal-Avia'"", 59.22939068100358)","('Fedosia Oil Products Supply Company', 58.92857142857143)"
ELT search ,"('Peace To Luhansk Region', 67.82608695652173)","('Mir Luganschine', 67.46031746031746)","('P UAC', 63.33333333333333)","('P USC', 63.33333333333333)","('Donetsk Republic', 61.72619047619047)"
"Ltd. ""Fort""","(' ""United Aircraft Corporation""', 61.61816578483245)","('United Aircraft Corporation', 61.61816578483245)","('Fedosia Oil Products Supply Company', 59.64285714285714)","(""'Federal State of Novorossiya'"", 59.523809523809526)","(""'Federativnoye Gosudarstvo Novorossiya'"", 59.282496782496786)"
" ""Service Plus""","(""Gosudarstvenoye predpriyatiye Agrofirma 'Magarach' nacionalnogo instituta vinograda i vina 'Magarach'"", 62.45704467353952)","('Mostotrest, P', 61.111111111111114)","('USC', 61.11111111111111)","('Sberbank of Russia', 61.11111111111111)","('P Sberbank (Public  Sberbank)', 60.5982905982906)"
" ""Orange Date""","('Concern Almaz-Antey', 68.98812688286372)","('Donetsk Republic', 65.9090909090909)","('The Great Don Army', 62.45791245791247)","('Russian Direct Investment Fund', 62.2979797979798)","('Dobrolet', 62.121212121212125)"
" ""RSM-Auto""","('Russian National Commercial Bank', 65.02976190476191)","('Smert Battalion', 63.76984126984128)","('Russia Bank', 62.651515151515156)","('Rostec', 62.5)","('First Crimean Insurance Company', 60.50307219662058)"
" ""Profiotel""","('Rostec', 70.37037037037037)","('Dobrolet', 69.44444444444443)","('P Integral', 68.5185185185185)","('Otkritie', 66.01851851851852)","('O ""VO TPE""', 64.81481481481481)"
" Chop ""Befiz""","(' TPE', 62.22222222222222)","('Oplot Battalion', 61.11111111111111)","("" 'VO TPE'"", 60.55555555555555)","('Donetsk Republic', 60.27777777777777)","(""Donbas People's Militia"", 56.473429951690825)"
" ""Intradees""","(' Integral', 82.5)","('Integral', 82.5)","('P Integral', 70.0)","('Industrialny Sberegatelny Bank', 65.55555555555556)","('Russian Direct Investment Fund', 65.55555555555556)"
" ""GETMOLIDS""","('Separate Artillery Brigade of the 1st Army Corps', 60.18518518518518)","('Battalion Gvardeysky', 60.0)","('Peace To Luhansk Region', 59.09822866344605)","(""People's Union"", 57.08994708994709)","('Death Battalion', 57.03703703703703)"
 Ten Vladimir Aleksandrovich,"('Z Interavtomatika (IA)', 67.25308641975309)","('Tactical Missiles Corporation ', 66.34850216217427)","('C VAD Aktsionernoe Obshchestvo VAD', 65.56178026766261)","('Russian National Commercial Bank', 65.26124338624338)","('Industrialny Sberegatelny Bank', 63.86614684860299)"
Izmailovo-Premium,"('O ""VO TPE""', 70.09803921568628)","("" 'VO TPE'"", 64.2483660130719)","(' Zaliv Shipyard', 61.297852474323065)","("" 'Mostotrest'"", 59.80392156862745)","('Russian National Commercial Bank', 59.54468325791855)"
" ""ELKOM""","('Vneshekonombank', 68.88888888888887)","('Luhansk Economic Union', 67.57575757575758)","('Luganskiy Ekonomicheskiy Soyuz', 65.55555555555556)","('Black Sea Bank Development and Reconstruction', 63.70370370370371)","('Black Sea Bank of Development and Reconstruction', 63.47222222222223)"
SERVIS TRADE ,"('Russian Direct Investment Fund', 66.11111111111111)","(' Feodosia Enterprise of oil', 65.87024087024088)","('Prizrak Brigade', 63.57142857142857)","('The Great Don Army', 62.03703703703704)","('Otkritie', 61.11111111111111)"
" ""EKODAR-SPB""","('Donetsk Republic', 70.97222222222221)","(' Feodosia Enterprise of oil', 66.08974358974359)","('Free Donbass', 65.55555555555556)","('Free Donbas', 63.59307359307359)","('P Sberbank of Russia', 63.51851851851852)"
Ay Pi Em Group ,"('Army of the Southeast', 63.01587301587301)","('Army of the South-East', 62.294372294372295)","('P Integral', 62.06349206349206)","('O ""VO Technopromexport""', 60.912698412698404)","('Almaz-Antey Corp', 60.71428571428571)"
" ""Realdent""","('Dobrolet', 66.66666666666666)","('Free Donbas', 62.651515151515156)","('Almaz-Antey ', 62.651515151515156)","('Crimean Republican Enterprise Azov Distillery Plant', 62.31325863678805)","('Free Donbass', 61.38888888888889)"
 Hajiyev Elbrus Shamarddan oglu,"('So-called ""Luhansk Guard""', 62.7536231884058)","('Army of the Southeast', 62.698412698412696)","('Zarya Battalion', 62.22222222222222)","(""Resort 'Nizhnyaya Oreanda'"", 62.1078431372549)","('Army of the South-East', 61.616161616161605)"
" ""DS LOGISTIC""","('Somali Battalion', 64.36688311688312)","(""Federal State Budget Institution for Science and Research 'All-Russia National Scientific Research Institute for Wine Growing and Wine Making 'MAGARACH' Russian Academy of Sciences'"", 62.67762369457285)","('Otkritie', 62.121212121212125)","(""Federal State Budgetary Enterprise 'Production-Agrarian Union 'Massandra' of the Administration of the President of the Russian Federation"", 60.29180695847363)","('Fedosia Oil Products Supply Company', 59.82683982683983)"
" ""North-West Regional","(""P 'Chernomorneftegaz'"", 66.12685560053981)","('Peace To Luhansk Region', 65.83269768624459)","(""State Enterprise 'Magarach' of the National Institute of Wine"", 65.82251296791885)","(""Resort 'Nizhnyaya Oreanda'"", 64.92690058479532)","('Aktsionernoe Obshchestvo Genbank', 63.48684210526315)"
